Execution time: 21232; Thread index: 1;
Execution time: 21444; Thread index: 2;
Execution time: 21460; Thread index: 3;
Execution time: 32575; Thread index: 2;
Execution time: 32817; Thread index: 3;
Execution time: 32877; Thread index: 1;
Execution time: 43833; Thread index: 1;
Execution time: 44467; Thread index: 2;
Execution time: 44638; Thread index: 3;
Execution time: 56347; Thread index: 1;
Execution time: 56587; Thread index: 3;
Execution time: 56639; Thread index: 2;
Execution time: 68926; Thread index: 1;
Execution time: 68951; Thread index: 3;
Execution time: 69222; Thread index: 2;
Execution time: 79602; Thread index: 3;
Execution time: 79763; Thread index: 1;
Execution time: 79865; Thread index: 2;
Execution time: 91433; Thread index: 2;
Execution time: 91483; Thread index: 1;
Execution time: 91723; Thread index: 3;
Execution time: 103233; Thread index: 1;
Execution time: 103289; Thread index: 2;
Execution time: 103399; Thread index: 3;
Execution time: 119547; Thread index: 1;
Execution time: 119674; Thread index: 2;
Execution time: 119681; Thread index: 3;
Execution time: 131539; Thread index: 1;
Execution time: 131625; Thread index: 2;
Execution time: 131664; Thread index: 3;
Execution time: 142425; Thread index: 3;
Execution time: 142510; Thread index: 2;
Execution time: 142522; Thread index: 1;
Execution time: 153979; Thread index: 1;
Execution time: 154065; Thread index: 2;
Execution time: 154148; Thread index: 3;
Execution time: 164901; Thread index: 1;
Execution time: 164951; Thread index: 2;
Execution time: 165050; Thread index: 3;
Execution time: 178954; Thread index: 1;
Execution time: 179088; Thread index: 3;
Execution time: 179092; Thread index: 2;
Execution time: 192544; Thread index: 1;
Execution time: 192635; Thread index: 2;
Execution time: 192728; Thread index: 3;
Execution time: 205533; Thread index: 1;
Execution time: 205600; Thread index: 2;
Execution time: 205725; Thread index: 3;
Execution time: 217078; Thread index: 1;
Execution time: 217091; Thread index: 2;
Execution time: 217219; Thread index: 3;
Execution time: 227882; Thread index: 1;
Execution time: 227998; Thread index: 2;
Execution time: 228013; Thread index: 3;
Execution time: 239468; Thread index: 1;
Execution time: 239537; Thread index: 2;
Execution time: 239623; Thread index: 3;
Execution time: 250789; Thread index: 1;
Execution time: 250865; Thread index: 2;
Execution time: 250927; Thread index: 3;
Execution time: 261238; Thread index: 3;
Execution time: 261425; Thread index: 2;
Execution time: 261503; Thread index: 1;
Execution time: 272189; Thread index: 1;
Execution time: 272438; Thread index: 3;
Execution time: 272441; Thread index: 2;
Execution time: 283471; Thread index: 1;
Execution time: 283601; Thread index: 2;
Execution time: 283606; Thread index: 3;
Execution time: 294506; Thread index: 1;
Execution time: 294509; Thread index: 3;
Execution time: 294723; Thread index: 2;
Execution time: 305735; Thread index: 2;
Execution time: 306098; Thread index: 3;
Execution time: 306101; Thread index: 1;
Execution time: 317060; Thread index: 1;
Execution time: 317437; Thread index: 3;
Execution time: 317461; Thread index: 2;
Execution time: 328061; Thread index: 1;
Execution time: 328258; Thread index: 2;
Execution time: 328299; Thread index: 3;
Execution time: 339086; Thread index: 2;
Execution time: 339201; Thread index: 1;
Execution time: 339284; Thread index: 3;
Execution time: 355349; Thread index: 3;
Execution time: 355400; Thread index: 2;
Execution time: 355461; Thread index: 1;
Execution time: 371650; Thread index: 3;
Execution time: 371658; Thread index: 2;
Execution time: 371791; Thread index: 1;
Execution time: 387022; Thread index: 1;
Execution time: 387209; Thread index: 3;
Execution time: 387236; Thread index: 2;
Execution time: 399520; Thread index: 1;
Execution time: 399527; Thread index: 3;
Execution time: 399552; Thread index: 2;
Execution time: 412118; Thread index: 1;
Execution time: 412468; Thread index: 2;
Execution time: 412480; Thread index: 3;
Execution time: 430172; Thread index: 2;
Execution time: 430177; Thread index: 1;
Execution time: 430494; Thread index: 3;
Execution time: 444976; Thread index: 1;
Execution time: 445047; Thread index: 2;
Execution time: 445539; Thread index: 3;
Execution time: 457871; Thread index: 1;
Execution time: 457880; Thread index: 2;
Execution time: 457975; Thread index: 3;
Execution time: 469743; Thread index: 2;
Execution time: 469910; Thread index: 1;
Execution time: 470249; Thread index: 3;
Execution time: 481713; Thread index: 1;
Execution time: 481971; Thread index: 3;
Execution time: 482015; Thread index: 2;
Execution time: 502313; Thread index: 2;
Execution time: 502423; Thread index: 3;
Execution time: 502498; Thread index: 1;
Execution time: 514266; Thread index: 1;
Execution time: 514409; Thread index: 3;
Execution time: 514450; Thread index: 2;
Execution time: 534856; Thread index: 2;
Execution time: 535006; Thread index: 1;
Execution time: 535056; Thread index: 3;
Execution time: 546196; Thread index: 2;
Execution time: 546328; Thread index: 1;
Execution time: 546766; Thread index: 3;
Execution time: 559151; Thread index: 3;
Execution time: 559301; Thread index: 1;
Execution time: 559383; Thread index: 2;
Execution time: 570446; Thread index: 2;
Execution time: 570564; Thread index: 1;
Execution time: 570596; Thread index: 3;
Execution time: 582213; Thread index: 3;
Execution time: 582308; Thread index: 1;
Execution time: 582450; Thread index: 2;
Execution time: 593994; Thread index: 1;
Execution time: 594294; Thread index: 3;
Execution time: 594303; Thread index: 2;
Execution time: 604988; Thread index: 1;
Execution time: 605253; Thread index: 2;
Execution time: 605269; Thread index: 3;
Execution time: 616128; Thread index: 2;
Execution time: 616341; Thread index: 1;
Execution time: 616359; Thread index: 3;
Execution time: 626025; Thread index: 1;
Execution time: 626101; Thread index: 2;
Execution time: 626204; Thread index: 3;
Execution time: 636473; Thread index: 1;
Execution time: 636714; Thread index: 2;
Execution time: 636751; Thread index: 3;
Execution time: 650897; Thread index: 1;
Execution time: 650901; Thread index: 3;
Execution time: 651105; Thread index: 2;
Execution time: 671978; Thread index: 1;
Execution time: 672209; Thread index: 2;
Execution time: 672486; Thread index: 3;
Execution time: 685785; Thread index: 1;
Execution time: 685821; Thread index: 2;
Execution time: 686111; Thread index: 3;
Execution time: 697787; Thread index: 1;
Execution time: 697853; Thread index: 3;
Execution time: 697968; Thread index: 2;
Execution time: 709751; Thread index: 1;
Execution time: 709767; Thread index: 3;
Execution time: 709908; Thread index: 2;
Execution time: 724950; Thread index: 1;
Execution time: 724964; Thread index: 3;
Execution time: 725224; Thread index: 2;
Execution time: 743117; Thread index: 2;
Execution time: 743165; Thread index: 1;
Execution time: 743362; Thread index: 3;
Execution time: 756503; Thread index: 1;
Execution time: 756597; Thread index: 2;
Execution time: 756861; Thread index: 3;
Execution time: 767877; Thread index: 2;
Execution time: 767943; Thread index: 1;
Execution time: 768177; Thread index: 3;
Execution time: 780255; Thread index: 2;
Execution time: 780411; Thread index: 3;
Execution time: 780513; Thread index: 1;
Execution time: 792513; Thread index: 2;
Execution time: 792657; Thread index: 3;
Execution time: 792784; Thread index: 1;
Execution time: 803742; Thread index: 1;
Execution time: 803922; Thread index: 2;
Execution time: 803973; Thread index: 3;
Execution time: 814388; Thread index: 1;
Execution time: 814651; Thread index: 2;
Execution time: 814703; Thread index: 3;
Execution time: 824633; Thread index: 3;
Execution time: 824792; Thread index: 1;
Execution time: 824870; Thread index: 2;
Execution time: 835242; Thread index: 1;
Execution time: 835453; Thread index: 3;
Execution time: 835455; Thread index: 2;
Execution time: 846026; Thread index: 1;
Execution time: 846137; Thread index: 2;
Execution time: 846206; Thread index: 3;
Execution time: 856464; Thread index: 3;
Execution time: 856650; Thread index: 1;
Execution time: 856750; Thread index: 2;
Execution time: 867964; Thread index: 1;
Execution time: 868140; Thread index: 3;
Execution time: 868191; Thread index: 2;
Execution time: 879050; Thread index: 1;
Execution time: 879122; Thread index: 2;
Execution time: 879248; Thread index: 3;
Execution time: 891376; Thread index: 1;
Execution time: 891482; Thread index: 2;
Execution time: 891973; Thread index: 3;
Execution time: 907085; Thread index: 1;
Execution time: 907101; Thread index: 2;
Execution time: 907805; Thread index: 3;
Execution time: 924462; Thread index: 1;
Execution time: 924511; Thread index: 2;
Execution time: 925223; Thread index: 3;
Execution time: 936151; Thread index: 2;
Execution time: 936238; Thread index: 1;
Execution time: 936284; Thread index: 3;
Execution time: 946455; Thread index: 1;
Execution time: 946717; Thread index: 2;
Execution time: 946770; Thread index: 3;
Execution time: 957114; Thread index: 1;
Execution time: 957199; Thread index: 3;
Execution time: 957250; Thread index: 2;
Execution time: 967823; Thread index: 1;
Execution time: 968050; Thread index: 3;
Execution time: 968130; Thread index: 2;
Execution time: 980275; Thread index: 2;
Execution time: 980317; Thread index: 1;
Execution time: 980400; Thread index: 3;
Execution time: 993853; Thread index: 1;
Execution time: 993948; Thread index: 2;
Execution time: 994539; Thread index: 3;
Execution time: 1016545; Thread index: 1;
Execution time: 1018388; Thread index: 2;
Execution time: 1021446; Thread index: 3;
Execution time: 1041548; Thread index: 2;
Execution time: 1041570; Thread index: 1;
Execution time: 1041916; Thread index: 3;
Execution time: 1061570; Thread index: 1;
Execution time: 1061607; Thread index: 2;
Execution time: 1062188; Thread index: 3;
Execution time: 1080449; Thread index: 1;
Execution time: 1080458; Thread index: 2;
Execution time: 1081504; Thread index: 3;
Execution time: 1100164; Thread index: 1;
Execution time: 1100189; Thread index: 2;
Execution time: 1101144; Thread index: 3;
Execution time: 1123865; Thread index: 1;
Execution time: 1124337; Thread index: 2;
Execution time: 1124784; Thread index: 3;
Execution time: 1136757; Thread index: 1;
Execution time: 1136797; Thread index: 2;
Execution time: 1136963; Thread index: 3;
Execution time: 1149764; Thread index: 1;
Execution time: 1149876; Thread index: 2;
Execution time: 1149885; Thread index: 3;
Execution time: 1160766; Thread index: 1;
Execution time: 1160830; Thread index: 2;
Execution time: 1160899; Thread index: 3;
Execution time: 1172326; Thread index: 1;
Execution time: 1172374; Thread index: 2;
Execution time: 1172452; Thread index: 3;
Execution time: 1183944; Thread index: 1;
Execution time: 1183948; Thread index: 2;
Execution time: 1184049; Thread index: 3;
Execution time: 1195757; Thread index: 1;
Execution time: 1195853; Thread index: 2;
Execution time: 1195855; Thread index: 3;
Execution time: 1212541; Thread index: 1;
Execution time: 1212610; Thread index: 2;
Execution time: 1213626; Thread index: 3;
Execution time: 1231670; Thread index: 2;
Execution time: 1231672; Thread index: 1;
Execution time: 1232774; Thread index: 3;
Execution time: 1244602; Thread index: 1;
Execution time: 1244704; Thread index: 2;
Execution time: 1244989; Thread index: 3;
Execution time: 1253596; Thread index: 2;
Execution time: 1253724; Thread index: 1;
Execution time: 1253788; Thread index: 3;
Execution time: 1262175; Thread index: 2;
Execution time: 1262327; Thread index: 1;
Execution time: 1262425; Thread index: 3;
Execution time: 1270844; Thread index: 1;
Execution time: 1271051; Thread index: 3;
Execution time: 1271130; Thread index: 2;
Execution time: 1279977; Thread index: 1;
Execution time: 1279979; Thread index: 2;
Execution time: 1280145; Thread index: 3;
Execution time: 1288781; Thread index: 1;
Execution time: 1289005; Thread index: 2;
Execution time: 1289007; Thread index: 3;
Execution time: 1297286; Thread index: 3;
Execution time: 1297406; Thread index: 1;
Execution time: 1297519; Thread index: 2;
Execution time: 1306629; Thread index: 3;
Execution time: 1306776; Thread index: 1;
Execution time: 1306878; Thread index: 2;
Execution time: 1315068; Thread index: 1;
Execution time: 1315276; Thread index: 3;
Execution time: 1315305; Thread index: 2;
Execution time: 1323851; Thread index: 3;
Execution time: 1323994; Thread index: 1;
Execution time: 1324091; Thread index: 2;
Execution time: 1332294; Thread index: 3;
Execution time: 1332425; Thread index: 1;
Execution time: 1332504; Thread index: 2;
Execution time: 1340830; Thread index: 1;
Execution time: 1341003; Thread index: 2;
Execution time: 1341084; Thread index: 3;
Execution time: 1349730; Thread index: 1;
Execution time: 1350045; Thread index: 2;
Execution time: 1350112; Thread index: 3;
Execution time: 1358563; Thread index: 3;
Execution time: 1358858; Thread index: 1;
Execution time: 1358918; Thread index: 2;
Execution time: 1367832; Thread index: 1;
Execution time: 1368037; Thread index: 3;
Execution time: 1368050; Thread index: 2;
Execution time: 1377190; Thread index: 1;
Execution time: 1377533; Thread index: 3;
Execution time: 1377551; Thread index: 2;
Execution time: 1390584; Thread index: 2;
Execution time: 1390655; Thread index: 1;
Execution time: 1390897; Thread index: 3;
Execution time: 1401085; Thread index: 3;
Execution time: 1401155; Thread index: 2;
Execution time: 1401195; Thread index: 1;
Execution time: 1416996; Thread index: 2;
Execution time: 1417059; Thread index: 3;
Execution time: 1417312; Thread index: 1;
Execution time: 1426951; Thread index: 2;
Execution time: 1427122; Thread index: 1;
Execution time: 1427151; Thread index: 3;
Execution time: 1437285; Thread index: 1;
Execution time: 1437531; Thread index: 2;
Execution time: 1437576; Thread index: 3;
Execution time: 1447489; Thread index: 3;
