Execution time: 20902; Thread index: 2;
Execution time: 21100; Thread index: 1;
Execution time: 21542; Thread index: 3;
Execution time: 39493; Thread index: 2;
Execution time: 39511; Thread index: 1;
Execution time: 39543; Thread index: 3;
Execution time: 53326; Thread index: 1;
Execution time: 53404; Thread index: 2;
Execution time: 53423; Thread index: 3;
Execution time: 66322; Thread index: 1;
Execution time: 66379; Thread index: 3;
Execution time: 66409; Thread index: 2;
Execution time: 79434; Thread index: 1;
Execution time: 79534; Thread index: 3;
Execution time: 79577; Thread index: 2;
Execution time: 90913; Thread index: 3;
Execution time: 91026; Thread index: 2;
Execution time: 91034; Thread index: 1;
Execution time: 101848; Thread index: 1;
Execution time: 101944; Thread index: 2;
Execution time: 101966; Thread index: 3;
Execution time: 114785; Thread index: 1;
Execution time: 114875; Thread index: 2;
Execution time: 114911; Thread index: 3;
Execution time: 126923; Thread index: 3;
Execution time: 127116; Thread index: 2;
Execution time: 127165; Thread index: 1;
Execution time: 140875; Thread index: 1;
Execution time: 140914; Thread index: 2;
Execution time: 140952; Thread index: 3;
Execution time: 154240; Thread index: 3;
Execution time: 154256; Thread index: 2;
Execution time: 154358; Thread index: 1;
Execution time: 168736; Thread index: 1;
Execution time: 168836; Thread index: 3;
Execution time: 168850; Thread index: 2;
Execution time: 180237; Thread index: 1;
Execution time: 180328; Thread index: 3;
Execution time: 180339; Thread index: 2;
Execution time: 192505; Thread index: 1;
Execution time: 192553; Thread index: 2;
Execution time: 192656; Thread index: 3;
Execution time: 204364; Thread index: 2;
Execution time: 204394; Thread index: 3;
Execution time: 204499; Thread index: 1;
Execution time: 215813; Thread index: 2;
Execution time: 215870; Thread index: 3;
Execution time: 215894; Thread index: 1;
Execution time: 230957; Thread index: 3;
Execution time: 231303; Thread index: 1;
Execution time: 231734; Thread index: 2;
Execution time: 246203; Thread index: 3;
Execution time: 246253; Thread index: 2;
Execution time: 246255; Thread index: 1;
Execution time: 258425; Thread index: 1;
Execution time: 258465; Thread index: 2;
Execution time: 258490; Thread index: 3;
Execution time: 270670; Thread index: 1;
Execution time: 270760; Thread index: 3;
Execution time: 270776; Thread index: 2;
Execution time: 282327; Thread index: 2;
Execution time: 282384; Thread index: 1;
Execution time: 282402; Thread index: 3;
Execution time: 293851; Thread index: 2;
Execution time: 293855; Thread index: 1;
Execution time: 293878; Thread index: 3;
Execution time: 306315; Thread index: 1;
Execution time: 306380; Thread index: 3;
Execution time: 306427; Thread index: 2;
Execution time: 317818; Thread index: 2;
Execution time: 318069; Thread index: 1;
Execution time: 318071; Thread index: 3;
Execution time: 328812; Thread index: 2;
Execution time: 328924; Thread index: 1;
Execution time: 329024; Thread index: 3;
Execution time: 339680; Thread index: 1;
Execution time: 339909; Thread index: 3;
Execution time: 339977; Thread index: 2;
Execution time: 350636; Thread index: 3;
Execution time: 350751; Thread index: 1;
Execution time: 350752; Thread index: 2;
Execution time: 361467; Thread index: 1;
Execution time: 361723; Thread index: 2;
Execution time: 361778; Thread index: 3;
Execution time: 371943; Thread index: 3;
Execution time: 372191; Thread index: 2;
Execution time: 372249; Thread index: 1;
Execution time: 382534; Thread index: 2;
Execution time: 382763; Thread index: 1;
Execution time: 382824; Thread index: 3;
Execution time: 395172; Thread index: 3;
Execution time: 395491; Thread index: 1;
Execution time: 395557; Thread index: 2;
Execution time: 406991; Thread index: 1;
Execution time: 407040; Thread index: 3;
Execution time: 407050; Thread index: 2;
Execution time: 420037; Thread index: 3;
Execution time: 420067; Thread index: 2;
Execution time: 420124; Thread index: 1;
Execution time: 430997; Thread index: 2;
Execution time: 431225; Thread index: 1;
Execution time: 431280; Thread index: 3;
Execution time: 442639; Thread index: 1;
Execution time: 442894; Thread index: 2;
Execution time: 442972; Thread index: 3;
Execution time: 453748; Thread index: 3;
Execution time: 453855; Thread index: 1;
Execution time: 453953; Thread index: 2;
Execution time: 464803; Thread index: 2;
Execution time: 465005; Thread index: 3;
Execution time: 465274; Thread index: 1;
Execution time: 475633; Thread index: 1;
Execution time: 475640; Thread index: 2;
Execution time: 475810; Thread index: 3;
Execution time: 486289; Thread index: 3;
Execution time: 486329; Thread index: 1;
Execution time: 486486; Thread index: 2;
Execution time: 496569; Thread index: 1;
Execution time: 496643; Thread index: 2;
Execution time: 496664; Thread index: 3;
Execution time: 506775; Thread index: 2;
Execution time: 506886; Thread index: 1;
Execution time: 507031; Thread index: 3;
Execution time: 517492; Thread index: 1;
Execution time: 517774; Thread index: 3;
Execution time: 517830; Thread index: 2;
Execution time: 529175; Thread index: 3;
Execution time: 529312; Thread index: 1;
Execution time: 529413; Thread index: 2;
Execution time: 539358; Thread index: 1;
Execution time: 539717; Thread index: 2;
Execution time: 539792; Thread index: 3;
Execution time: 554598; Thread index: 3;
Execution time: 555125; Thread index: 2;
Execution time: 555291; Thread index: 1;
Execution time: 574849; Thread index: 2;
