Execution time: 755333; Thread index: 3;
Execution time: 755397; Thread index: 1;
Execution time: 755453; Thread index: 2;
Execution time: 765444; Thread index: 3;
Execution time: 765718; Thread index: 2;
Execution time: 765813; Thread index: 1;
Execution time: 776013; Thread index: 3;
Execution time: 776378; Thread index: 1;
Execution time: 776389; Thread index: 2;
Execution time: 788965; Thread index: 2;
Execution time: 789014; Thread index: 1;
Execution time: 789457; Thread index: 3;
Execution time: 799990; Thread index: 1;
Execution time: 800303; Thread index: 3;
Execution time: 800315; Thread index: 2;
Execution time: 810600; Thread index: 3;
Execution time: 810629; Thread index: 1;
Execution time: 810807; Thread index: 2;
Execution time: 821711; Thread index: 3;
Execution time: 821751; Thread index: 1;
Execution time: 822013; Thread index: 2;
Execution time: 832634; Thread index: 1;
Execution time: 832875; Thread index: 3;
Execution time: 832908; Thread index: 2;
Execution time: 843856; Thread index: 1;
Execution time: 844068; Thread index: 3;
Execution time: 844095; Thread index: 2;
Execution time: 854856; Thread index: 3;
Execution time: 854910; Thread index: 1;
Execution time: 855071; Thread index: 2;
Execution time: 866454; Thread index: 1;
Execution time: 866546; Thread index: 2;
Execution time: 866634; Thread index: 3;
Execution time: 878393; Thread index: 3;
Execution time: 878432; Thread index: 1;
Execution time: 878608; Thread index: 2;
Execution time: 890306; Thread index: 3;
Execution time: 890314; Thread index: 1;
Execution time: 890484; Thread index: 2;
Execution time: 903888; Thread index: 3;
Execution time: 903935; Thread index: 1;
Execution time: 904097; Thread index: 2;
Execution time: 914733; Thread index: 3;
Execution time: 914749; Thread index: 1;
Execution time: 914858; Thread index: 2;
Execution time: 925404; Thread index: 3;
Execution time: 925747; Thread index: 2;
Execution time: 925817; Thread index: 1;
Execution time: 937037; Thread index: 3;
Execution time: 937121; Thread index: 1;
Execution time: 937261; Thread index: 2;
Execution time: 947983; Thread index: 3;
Execution time: 948050; Thread index: 1;
Execution time: 948144; Thread index: 2;
Execution time: 958326; Thread index: 1;
Execution time: 958630; Thread index: 2;
Execution time: 958633; Thread index: 3;
Execution time: 971083; Thread index: 1;
Execution time: 971300; Thread index: 3;
Execution time: 971321; Thread index: 2;
Execution time: 985034; Thread index: 1;
Execution time: 985114; Thread index: 2;
Execution time: 985517; Thread index: 3;
Execution time: 1003503; Thread index: 2;
Execution time: 1003545; Thread index: 1;
Execution time: 1004182; Thread index: 3;
Execution time: 1015585; Thread index: 2;
Execution time: 1015725; Thread index: 1;
Execution time: 1015728; Thread index: 3;
Execution time: 1040720; Thread index: 1;
Execution time: 1041804; Thread index: 2;
Execution time: 1042629; Thread index: 3;
Execution time: 1058310; Thread index: 1;
Execution time: 1058483; Thread index: 2;
Execution time: 1058486; Thread index: 3;
Execution time: 1076385; Thread index: 1;
Execution time: 1076464; Thread index: 2;
Execution time: 1076971; Thread index: 3;
Execution time: 1095335; Thread index: 1;
Execution time: 1095467; Thread index: 3;
Execution time: 1095625; Thread index: 2;
Execution time: 1115967; Thread index: 1;
Execution time: 1116073; Thread index: 2;
Execution time: 1116368; Thread index: 3;
Execution time: 1128379; Thread index: 2;
Execution time: 1128487; Thread index: 1;
Execution time: 1128562; Thread index: 3;
Execution time: 1145719; Thread index: 1;
Execution time: 1145774; Thread index: 2;
Execution time: 1146094; Thread index: 3;
Execution time: 1161842; Thread index: 2;
Execution time: 1161915; Thread index: 1;
Execution time: 1162101; Thread index: 3;
Execution time: 1182417; Thread index: 1;
Execution time: 1182587; Thread index: 2;
Execution time: 1182700; Thread index: 3;
Execution time: 1192764; Thread index: 1;
Execution time: 1192979; Thread index: 3;
Execution time: 1193063; Thread index: 2;
Execution time: 1202136; Thread index: 1;
Execution time: 1202435; Thread index: 2;
Execution time: 1202465; Thread index: 3;
Execution time: 1211273; Thread index: 1;
Execution time: 1211472; Thread index: 3;
Execution time: 1211498; Thread index: 2;
Execution time: 1220822; Thread index: 1;
Execution time: 1220842; Thread index: 2;
Execution time: 1220949; Thread index: 3;
Execution time: 1236156; Thread index: 1;
Execution time: 1236267; Thread index: 2;
Execution time: 1236273; Thread index: 3;
Execution time: 1246654; Thread index: 1;
Execution time: 1246757; Thread index: 2;
Execution time: 1246775; Thread index: 3;
Execution time: 1255222; Thread index: 1;
Execution time: 1255491; Thread index: 3;
Execution time: 1255540; Thread index: 2;
Execution time: 1264423; Thread index: 1;
Execution time: 1264510; Thread index: 2;
Execution time: 1264628; Thread index: 3;
Execution time: 1272804; Thread index: 1;
Execution time: 1273108; Thread index: 2;
Execution time: 1273177; Thread index: 3;
Execution time: 1282456; Thread index: 1;
Execution time: 1282700; Thread index: 2;
Execution time: 1282749; Thread index: 3;
Execution time: 1291254; Thread index: 1;
Execution time: 1291499; Thread index: 3;
Execution time: 1291522; Thread index: 2;
Execution time: 1300471; Thread index: 3;
Execution time: 1300625; Thread index: 1;
Execution time: 1300732; Thread index: 2;
Execution time: 1309315; Thread index: 3;
Execution time: 1309606; Thread index: 1;
Execution time: 1309707; Thread index: 2;
Execution time: 1318352; Thread index: 1;
Execution time: 1318674; Thread index: 2;
Execution time: 1318769; Thread index: 3;
Execution time: 1327299; Thread index: 2;
Execution time: 1327321; Thread index: 1;
Execution time: 1327519; Thread index: 3;
Execution time: 1335780; Thread index: 1;
Execution time: 1336065; Thread index: 2;
Execution time: 1336085; Thread index: 3;
Execution time: 1344508; Thread index: 3;
Execution time: 1344819; Thread index: 2;
Execution time: 1344828; Thread index: 1;
Execution time: 1353360; Thread index: 1;
Execution time: 1353593; Thread index: 2;
Execution time: 1353648; Thread index: 3;
Execution time: 1361811; Thread index: 1;
Execution time: 1362092; Thread index: 3;
Execution time: 1362148; Thread index: 2;
Execution time: 1374752; Thread index: 3;
Execution time: 1374886; Thread index: 2;
Execution time: 1374945; Thread index: 1;
Execution time: 1384800; Thread index: 3;
Execution time: 1384804; Thread index: 2;
Execution time: 1384877; Thread index: 1;
Execution time: 1393624; Thread index: 1;
Execution time: 1393958; Thread index: 2;
Execution time: 1394024; Thread index: 3;
Execution time: 1403567; Thread index: 1;
Execution time: 1403778; Thread index: 3;
Execution time: 1403802; Thread index: 2;
Execution time: 1412683; Thread index: 3;
Execution time: 1412710; Thread index: 1;
Execution time: 1412888; Thread index: 2;
Execution time: 1421847; Thread index: 1;
Execution time: 1422073; Thread index: 2;
Execution time: 1422102; Thread index: 3;
Execution time: 1431007; Thread index: 1;
Execution time: 1431133; Thread index: 2;
Execution time: 1431350; Thread index: 3;
Execution time: 1440255; Thread index: 3;
Execution time: 1440313; Thread index: 1;
Execution time: 1440461; Thread index: 2;
Execution time: 1449291; Thread index: 2;
Execution time: 1449411; Thread index: 1;
Execution time: 1449480; Thread index: 3;
Execution time: 1458078; Thread index: 3;
Execution time: 1458149; Thread index: 1;
Execution time: 1458295; Thread index: 2;
Execution time: 1467047; Thread index: 1;
Execution time: 1467435; Thread index: 3;
Execution time: 1467470; Thread index: 2;
Execution time: 1477964; Thread index: 1;
Execution time: 1478353; Thread index: 3;
Execution time: 1478424; Thread index: 2;
Execution time: 1487958; Thread index: 1;
Execution time: 1488177; Thread index: 3;
Execution time: 1488197; Thread index: 2;
Execution time: 1499205; Thread index: 2;
Execution time: 1499268; Thread index: 1;
Execution time: 1499453; Thread index: 3;
Execution time: 1508514; Thread index: 3;
Execution time: 1508585; Thread index: 1;
Execution time: 1508734; Thread index: 2;
Execution time: 1517727; Thread index: 1;
Execution time: 1518052; Thread index: 3;
Execution time: 1518118; Thread index: 2;
Execution time: 1526637; Thread index: 1;
Execution time: 1526815; Thread index: 2;
Execution time: 1527021; Thread index: 3;
Execution time: 1535821; Thread index: 1;
Execution time: 1536066; Thread index: 2;
Execution time: 1536087; Thread index: 3;
Execution time: 1546708; Thread index: 1;
Execution time: 1546919; Thread index: 3;
Execution time: 1546934; Thread index: 2;
Execution time: 1558627; Thread index: 1;
Execution time: 1558762; Thread index: 2;
Execution time: 1558832; Thread index: 3;
Execution time: 1567331; Thread index: 2;
Execution time: 1567342; Thread index: 1;
Execution time: 1567578; Thread index: 3;
Execution time: 1576184; Thread index: 1;
Execution time: 1576373; Thread index: 3;
Execution time: 1576373; Thread index: 2;
Execution time: 1585259; Thread index: 1;
Execution time: 1585375; Thread index: 2;
Execution time: 1585441; Thread index: 3;
Execution time: 1594248; Thread index: 1;
Execution time: 1594470; Thread index: 2;
Execution time: 1594535; Thread index: 3;
Execution time: 1603045; Thread index: 1;
Execution time: 1603057; Thread index: 2;
Execution time: 1603279; Thread index: 3;
Execution time: 1611900; Thread index: 3;
Execution time: 1611914; Thread index: 1;
Execution time: 1612105; Thread index: 2;
Execution time: 1620676; Thread index: 1;
Execution time: 1620929; Thread index: 3;
Execution time: 1620949; Thread index: 2;
Execution time: 1629821; Thread index: 1;
Execution time: 1630048; Thread index: 3;
Execution time: 1630050; Thread index: 2;
Execution time: 1638585; Thread index: 3;
