Execution time: 14037; Thread index: 1;
Execution time: 14176; Thread index: 3;
Execution time: 14244; Thread index: 2;
Execution time: 26125; Thread index: 2;
Execution time: 26387; Thread index: 3;
Execution time: 26467; Thread index: 1;
Execution time: 38353; Thread index: 2;
Execution time: 38386; Thread index: 1;
Execution time: 38691; Thread index: 3;
Execution time: 57007; Thread index: 1;
Execution time: 57033; Thread index: 3;
Execution time: 57253; Thread index: 2;
Execution time: 79154; Thread index: 2;
Execution time: 79255; Thread index: 3;
Execution time: 79401; Thread index: 1;
Execution time: 91212; Thread index: 1;
Execution time: 91269; Thread index: 2;
Execution time: 91445; Thread index: 3;
Execution time: 103732; Thread index: 2;
Execution time: 103785; Thread index: 1;
Execution time: 104054; Thread index: 3;
Execution time: 118706; Thread index: 1;
Execution time: 118728; Thread index: 2;
Execution time: 118823; Thread index: 3;
Execution time: 132296; Thread index: 3;
Execution time: 132364; Thread index: 1;
Execution time: 132449; Thread index: 2;
Execution time: 145387; Thread index: 1;
Execution time: 145424; Thread index: 3;
Execution time: 145991; Thread index: 2;
Execution time: 157998; Thread index: 1;
Execution time: 158124; Thread index: 3;
Execution time: 158197; Thread index: 2;
Execution time: 176861; Thread index: 2;
Execution time: 176985; Thread index: 1;
Execution time: 177150; Thread index: 3;
Execution time: 188990; Thread index: 1;
Execution time: 189023; Thread index: 2;
Execution time: 189186; Thread index: 3;
Execution time: 201346; Thread index: 2;
Execution time: 201480; Thread index: 1;
Execution time: 201566; Thread index: 3;
Execution time: 213038; Thread index: 2;
Execution time: 213296; Thread index: 3;
Execution time: 213360; Thread index: 1;
Execution time: 223877; Thread index: 1;
Execution time: 224028; Thread index: 3;
Execution time: 224069; Thread index: 2;
Execution time: 234675; Thread index: 3;
Execution time: 234793; Thread index: 1;
Execution time: 234856; Thread index: 2;
Execution time: 248135; Thread index: 1;
Execution time: 248380; Thread index: 3;
Execution time: 248456; Thread index: 2;
Execution time: 262523; Thread index: 2;
Execution time: 262557; Thread index: 3;
Execution time: 262994; Thread index: 1;
Execution time: 277162; Thread index: 2;
Execution time: 277212; Thread index: 3;
Execution time: 277301; Thread index: 1;
Execution time: 288258; Thread index: 1;
Execution time: 288315; Thread index: 2;
Execution time: 288328; Thread index: 3;
Execution time: 299018; Thread index: 2;
Execution time: 299069; Thread index: 1;
Execution time: 299124; Thread index: 3;
Execution time: 315290; Thread index: 2;
Execution time: 315307; Thread index: 1;
Execution time: 315411; Thread index: 3;
Execution time: 326952; Thread index: 1;
Execution time: 326997; Thread index: 2;
Execution time: 327075; Thread index: 3;
Execution time: 338678; Thread index: 1;
Execution time: 338714; Thread index: 3;
Execution time: 338782; Thread index: 2;
Execution time: 351210; Thread index: 2;
Execution time: 351216; Thread index: 3;
Execution time: 351843; Thread index: 1;
Execution time: 368990; Thread index: 2;
Execution time: 368997; Thread index: 3;
Execution time: 369076; Thread index: 1;
Execution time: 384859; Thread index: 1;
Execution time: 384962; Thread index: 3;
Execution time: 384983; Thread index: 2;
Execution time: 399423; Thread index: 1;
Execution time: 399466; Thread index: 2;
Execution time: 399569; Thread index: 3;
Execution time: 411458; Thread index: 2;
Execution time: 411466; Thread index: 3;
Execution time: 411551; Thread index: 1;
Execution time: 422653; Thread index: 2;
Execution time: 422681; Thread index: 3;
Execution time: 422776; Thread index: 1;
Execution time: 437888; Thread index: 1;
Execution time: 437912; Thread index: 2;
Execution time: 438059; Thread index: 3;
Execution time: 452608; Thread index: 2;
Execution time: 452610; Thread index: 1;
Execution time: 452735; Thread index: 3;
Execution time: 464231; Thread index: 2;
Execution time: 464303; Thread index: 1;
Execution time: 464416; Thread index: 3;
Execution time: 475617; Thread index: 3;
Execution time: 475631; Thread index: 2;
Execution time: 475714; Thread index: 1;
Execution time: 487553; Thread index: 2;
Execution time: 487703; Thread index: 1;
Execution time: 487783; Thread index: 3;
Execution time: 499874; Thread index: 1;
Execution time: 499918; Thread index: 3;
Execution time: 500111; Thread index: 2;
Execution time: 511709; Thread index: 2;
Execution time: 511841; Thread index: 1;
Execution time: 511895; Thread index: 3;
Execution time: 522269; Thread index: 3;
Execution time: 522310; Thread index: 2;
Execution time: 522426; Thread index: 1;
Execution time: 534012; Thread index: 3;
Execution time: 534272; Thread index: 2;
Execution time: 534333; Thread index: 1;
Execution time: 544738; Thread index: 3;
Execution time: 544744; Thread index: 1;
Execution time: 544956; Thread index: 2;
Execution time: 555042; Thread index: 1;
Execution time: 555119; Thread index: 2;
Execution time: 555204; Thread index: 3;
Execution time: 565095; Thread index: 3;
Execution time: 565196; Thread index: 1;
Execution time: 565267; Thread index: 2;
Execution time: 576145; Thread index: 2;
Execution time: 576232; Thread index: 1;
Execution time: 576293; Thread index: 3;
Execution time: 585972; Thread index: 3;
Execution time: 586289; Thread index: 1;
Execution time: 586388; Thread index: 2;
Execution time: 596497; Thread index: 1;
Execution time: 596759; Thread index: 2;
Execution time: 596792; Thread index: 3;
Execution time: 607594; Thread index: 1;
Execution time: 607918; Thread index: 3;
Execution time: 607982; Thread index: 2;
Execution time: 618093; Thread index: 1;
Execution time: 618271; Thread index: 3;
Execution time: 618328; Thread index: 2;
Execution time: 627972; Thread index: 1;
Execution time: 628316; Thread index: 2;
Execution time: 628340; Thread index: 3;
Execution time: 638885; Thread index: 2;
Execution time: 639214; Thread index: 3;
Execution time: 639223; Thread index: 1;
Execution time: 649463; Thread index: 3;
Execution time: 649567; Thread index: 1;
Execution time: 649680; Thread index: 2;
Execution time: 660099; Thread index: 3;
Execution time: 660374; Thread index: 1;
Execution time: 660431; Thread index: 2;
Execution time: 670941; Thread index: 1;
Execution time: 671184; Thread index: 3;
Execution time: 671279; Thread index: 2;
Execution time: 681601; Thread index: 1;
Execution time: 681645; Thread index: 3;
Execution time: 681665; Thread index: 2;
Execution time: 691822; Thread index: 2;
Execution time: 691898; Thread index: 3;
Execution time: 692056; Thread index: 1;
Execution time: 702444; Thread index: 1;
Execution time: 702681; Thread index: 3;
Execution time: 702686; Thread index: 2;
Execution time: 712809; Thread index: 3;
Execution time: 713092; Thread index: 1;
Execution time: 713135; Thread index: 2;
Execution time: 722999; Thread index: 1;
Execution time: 723326; Thread index: 2;
Execution time: 723397; Thread index: 3;
Execution time: 733581; Thread index: 1;
Execution time: 733943; Thread index: 3;
Execution time: 733951; Thread index: 2;
Execution time: 744537; Thread index: 2;
Execution time: 744707; Thread index: 1;
Execution time: 744729; Thread index: 3;
Execution time: 754716; Thread index: 1;
Execution time: 754733; Thread index: 3;
Execution time: 754822; Thread index: 2;
Execution time: 765085; Thread index: 1;
Execution time: 765338; Thread index: 3;
Execution time: 765342; Thread index: 2;
Execution time: 775908; Thread index: 1;
Execution time: 775984; Thread index: 2;
Execution time: 776000; Thread index: 3;
Execution time: 786915; Thread index: 1;
Execution time: 787025; Thread index: 2;
Execution time: 787025; Thread index: 3;
Execution time: 797974; Thread index: 3;
Execution time: 798103; Thread index: 2;
Execution time: 798223; Thread index: 1;
Execution time: 809084; Thread index: 1;
Execution time: 809253; Thread index: 3;
Execution time: 809311; Thread index: 2;
Execution time: 819629; Thread index: 1;
Execution time: 819853; Thread index: 2;
Execution time: 819900; Thread index: 3;
Execution time: 830886; Thread index: 3;
Execution time: 831055; Thread index: 2;
Execution time: 831134; Thread index: 1;
Execution time: 841832; Thread index: 3;
Execution time: 841935; Thread index: 1;
Execution time: 842010; Thread index: 2;
Execution time: 852446; Thread index: 3;
Execution time: 852490; Thread index: 1;
Execution time: 852636; Thread index: 2;
Execution time: 864120; Thread index: 1;
Execution time: 864423; Thread index: 2;
Execution time: 864479; Thread index: 3;
Execution time: 876503; Thread index: 2;
Execution time: 876578; Thread index: 1;
Execution time: 876647; Thread index: 3;
Execution time: 887565; Thread index: 1;
Execution time: 887950; Thread index: 3;
Execution time: 887960; Thread index: 2;
Execution time: 898436; Thread index: 2;
Execution time: 898787; Thread index: 1;
Execution time: 898844; Thread index: 3;
Execution time: 909561; Thread index: 3;
Execution time: 909672; Thread index: 2;
Execution time: 909680; Thread index: 1;
Execution time: 920761; Thread index: 1;
Execution time: 920857; Thread index: 3;
Execution time: 920967; Thread index: 2;
Execution time: 931550; Thread index: 1;
Execution time: 931750; Thread index: 2;
Execution time: 931841; Thread index: 3;
Execution time: 942259; Thread index: 1;
Execution time: 942559; Thread index: 2;
Execution time: 942584; Thread index: 3;
Execution time: 954724; Thread index: 3;
Execution time: 954729; Thread index: 2;
Execution time: 955078; Thread index: 1;
Execution time: 967717; Thread index: 3;
Execution time: 967838; Thread index: 2;
Execution time: 967859; Thread index: 1;
Execution time: 985580; Thread index: 2;
Execution time: 985830; Thread index: 1;
Execution time: 986069; Thread index: 3;
Execution time: 1004613; Thread index: 1;
Execution time: 1004740; Thread index: 2;
Execution time: 1005476; Thread index: 3;
Execution time: 1027203; Thread index: 1;
Execution time: 1027236; Thread index: 3;
Execution time: 1027250; Thread index: 2;
Execution time: 1042809; Thread index: 3;
Execution time: 1042943; Thread index: 2;
Execution time: 1043569; Thread index: 1;
Execution time: 1058049; Thread index: 3;
Execution time: 1058097; Thread index: 1;
Execution time: 1058311; Thread index: 2;
Execution time: 1078703; Thread index: 2;
Execution time: 1078750; Thread index: 1;
Execution time: 1078877; Thread index: 3;
Execution time: 1091161; Thread index: 1;
Execution time: 1091175; Thread index: 3;
Execution time: 1091117; Thread index: 2;
Execution time: 1112553; Thread index: 2;
Execution time: 1112580; Thread index: 3;
Execution time: 1112729; Thread index: 1;
Execution time: 1126756; Thread index: 2;
Execution time: 1126871; Thread index: 3;
Execution time: 1126894; Thread index: 1;
Execution time: 1139425; Thread index: 2;
Execution time: 1139450; Thread index: 3;
Execution time: 1139698; Thread index: 1;
Execution time: 1154586; Thread index: 1;
Execution time: 1154778; Thread index: 3;
Execution time: 1154899; Thread index: 2;
Execution time: 1169657; Thread index: 2;
Execution time: 1169751; Thread index: 1;
Execution time: 1169837; Thread index: 3;
Execution time: 1190046; Thread index: 3;
Execution time: 1190107; Thread index: 2;
Execution time: 1190218; Thread index: 1;
Execution time: 1200301; Thread index: 1;
Execution time: 1200409; Thread index: 3;
Execution time: 1200443; Thread index: 2;
Execution time: 1209235; Thread index: 3;
Execution time: 1209354; Thread index: 1;
Execution time: 1209419; Thread index: 2;
Execution time: 1218066; Thread index: 3;
Execution time: 1218226; Thread index: 2;
Execution time: 1218254; Thread index: 1;
Execution time: 1227206; Thread index: 2;
Execution time: 1227234; Thread index: 1;
Execution time: 1227352; Thread index: 3;
Execution time: 1236478; Thread index: 2;
Execution time: 1236578; Thread index: 1;
Execution time: 1236685; Thread index: 3;
Execution time: 1245131; Thread index: 1;
Execution time: 1245293; Thread index: 2;
Execution time: 1245354; Thread index: 3;
Execution time: 1256505; Thread index: 1;
Execution time: 1256614; Thread index: 2;
Execution time: 1256697; Thread index: 3;
Execution time: 1265567; Thread index: 1;
Execution time: 1265929; Thread index: 2;
Execution time: 1266006; Thread index: 3;
Execution time: 1274776; Thread index: 1;
Execution time: 1275021; Thread index: 3;
Execution time: 1275077; Thread index: 2;
Execution time: 1283957; Thread index: 1;
Execution time: 1284197; Thread index: 2;
Execution time: 1284227; Thread index: 3;
Execution time: 1292595; Thread index: 3;
Execution time: 1292860; Thread index: 1;
Execution time: 1292917; Thread index: 2;
Execution time: 1301633; Thread index: 2;
Execution time: 1301721; Thread index: 1;
Execution time: 1301807; Thread index: 3;
Execution time: 1310080; Thread index: 2;
Execution time: 1310398; Thread index: 1;
Execution time: 1310469; Thread index: 3;
Execution time: 1319031; Thread index: 1;
Execution time: 1319043; Thread index: 2;
Execution time: 1319232; Thread index: 3;
Execution time: 1327957; Thread index: 2;
Execution time: 1328276; Thread index: 3;
Execution time: 1328327; Thread index: 1;
Execution time: 1337400; Thread index: 3;
Execution time: 1337496; Thread index: 1;
Execution time: 1337583; Thread index: 2;
Execution time: 1347273; Thread index: 2;
Execution time: 1347280; Thread index: 1;
Execution time: 1347329; Thread index: 3;
Execution time: 1356660; Thread index: 1;
Execution time: 1356683; Thread index: 2;
Execution time: 1356744; Thread index: 3;
Execution time: 1368647; Thread index: 2;
Execution time: 1368738; Thread index: 1;
Execution time: 1368759; Thread index: 3;
Execution time: 1379229; Thread index: 1;
Execution time: 1379491; Thread index: 2;
Execution time: 1379532; Thread index: 3;
Execution time: 1387835; Thread index: 2;
Execution time: 1387971; Thread index: 1;
Execution time: 1388035; Thread index: 3;
Execution time: 1396899; Thread index: 1;
Execution time: 1397170; Thread index: 2;
Execution time: 1397236; Thread index: 3;
Execution time: 1405749; Thread index: 1;
Execution time: 1406136; Thread index: 3;
Execution time: 1406141; Thread index: 2;
Execution time: 1414657; Thread index: 1;
Execution time: 1414877; Thread index: 2;
Execution time: 1414893; Thread index: 3;
Execution time: 1423684; Thread index: 1;
Execution time: 1424018; Thread index: 2;
Execution time: 1424090; Thread index: 3;
Execution time: 1432682; Thread index: 1;
Execution time: 1432991; Thread index: 3;
Execution time: 1433049; Thread index: 2;
Execution time: 1442251; Thread index: 1;
