Execution time: 16890; Thread index: 1;
Execution time: 17129; Thread index: 2;
Execution time: 17167; Thread index: 3;
Execution time: 28416; Thread index: 2;
Execution time: 28484; Thread index: 3;
Execution time: 28571; Thread index: 1;
Execution time: 39379; Thread index: 3;
Execution time: 39493; Thread index: 2;
Execution time: 39609; Thread index: 1;
Execution time: 49911; Thread index: 3;
Execution time: 50022; Thread index: 2;
Execution time: 50124; Thread index: 1;
Execution time: 61400; Thread index: 3;
Execution time: 61554; Thread index: 1;
Execution time: 61642; Thread index: 2;
Execution time: 72664; Thread index: 2;
Execution time: 72678; Thread index: 1;
Execution time: 72790; Thread index: 3;
Execution time: 84446; Thread index: 3;
Execution time: 84559; Thread index: 1;
Execution time: 84641; Thread index: 2;
Execution time: 97513; Thread index: 3;
Execution time: 97625; Thread index: 1;
Execution time: 97749; Thread index: 2;
Execution time: 108468; Thread index: 2;
Execution time: 108726; Thread index: 1;
Execution time: 108790; Thread index: 3;
Execution time: 119041; Thread index: 2;
Execution time: 119135; Thread index: 1;
Execution time: 119200; Thread index: 3;
Execution time: 129846; Thread index: 2;
Execution time: 130084; Thread index: 1;
Execution time: 130142; Thread index: 3;
Execution time: 141746; Thread index: 3;
Execution time: 141848; Thread index: 2;
Execution time: 141919; Thread index: 1;
Execution time: 152152; Thread index: 3;
Execution time: 152284; Thread index: 1;
Execution time: 152292; Thread index: 2;
Execution time: 162426; Thread index: 2;
Execution time: 162544; Thread index: 1;
Execution time: 162625; Thread index: 3;
Execution time: 173555; Thread index: 1;
Execution time: 173814; Thread index: 2;
Execution time: 173881; Thread index: 3;
Execution time: 184302; Thread index: 1;
Execution time: 184528; Thread index: 3;
Execution time: 184527; Thread index: 2;
Execution time: 195052; Thread index: 1;
Execution time: 195259; Thread index: 2;
Execution time: 195329; Thread index: 3;
Execution time: 205948; Thread index: 3;
Execution time: 206220; Thread index: 2;
Execution time: 206286; Thread index: 1;
Execution time: 217134; Thread index: 3;
Execution time: 217191; Thread index: 2;
Execution time: 217373; Thread index: 1;
Execution time: 227866; Thread index: 1;
Execution time: 228106; Thread index: 3;
Execution time: 228170; Thread index: 2;
Execution time: 238985; Thread index: 1;
Execution time: 239253; Thread index: 2;
Execution time: 239269; Thread index: 3;
Execution time: 249975; Thread index: 2;
Execution time: 250088; Thread index: 1;
Execution time: 250178; Thread index: 3;
Execution time: 260863; Thread index: 3;
Execution time: 260954; Thread index: 1;
Execution time: 261023; Thread index: 2;
Execution time: 271931; Thread index: 3;
Execution time: 271968; Thread index: 1;
Execution time: 272101; Thread index: 2;
Execution time: 282491; Thread index: 1;
Execution time: 282735; Thread index: 2;
Execution time: 282810; Thread index: 3;
Execution time: 293278; Thread index: 1;
Execution time: 293391; Thread index: 3;
Execution time: 293464; Thread index: 2;
Execution time: 309948; Thread index: 1;
Execution time: 309970; Thread index: 2;
Execution time: 310493; Thread index: 3;
Execution time: 321939; Thread index: 3;
Execution time: 321990; Thread index: 1;
Execution time: 322493; Thread index: 2;
Execution time: 335382; Thread index: 1;
Execution time: 335402; Thread index: 2;
Execution time: 335845; Thread index: 3;
Execution time: 351450; Thread index: 2;
Execution time: 351477; Thread index: 1;
Execution time: 351602; Thread index: 3;
Execution time: 368910; Thread index: 1;
Execution time: 369034; Thread index: 2;
Execution time: 369140; Thread index: 3;
Execution time: 382217; Thread index: 2;
Execution time: 382318; Thread index: 3;
Execution time: 382449; Thread index: 1;
Execution time: 394383; Thread index: 3;
Execution time: 394393; Thread index: 2;
Execution time: 394526; Thread index: 1;
Execution time: 411198; Thread index: 2;
Execution time: 411320; Thread index: 1;
Execution time: 411513; Thread index: 3;
Execution time: 432836; Thread index: 2;
Execution time: 432871; Thread index: 1;
Execution time: 433159; Thread index: 3;
Execution time: 447023; Thread index: 3;
Execution time: 447063; Thread index: 2;
Execution time: 447296; Thread index: 1;
Execution time: 463583; Thread index: 1;
Execution time: 463675; Thread index: 3;
Execution time: 463848; Thread index: 2;
Execution time: 477032; Thread index: 3;
Execution time: 477119; Thread index: 2;
Execution time: 477262; Thread index: 1;
Execution time: 489735; Thread index: 2;
Execution time: 489785; Thread index: 3;
Execution time: 489897; Thread index: 1;
Execution time: 504493; Thread index: 1;
Execution time: 504548; Thread index: 2;
Execution time: 504574; Thread index: 3;
Execution time: 515459; Thread index: 2;
Execution time: 515590; Thread index: 1;
Execution time: 515739; Thread index: 3;
Execution time: 526020; Thread index: 1;
Execution time: 526247; Thread index: 3;
Execution time: 526292; Thread index: 2;
Execution time: 537740; Thread index: 2;
Execution time: 537742; Thread index: 1;
Execution time: 537830; Thread index: 3;
Execution time: 549169; Thread index: 2;
Execution time: 549245; Thread index: 1;
Execution time: 549256; Thread index: 3;
Execution time: 559959; Thread index: 1;
Execution time: 560310; Thread index: 3;
Execution time: 560369; Thread index: 2;
Execution time: 571286; Thread index: 3;
Execution time: 571311; Thread index: 2;
Execution time: 571385; Thread index: 1;
Execution time: 583517; Thread index: 3;
Execution time: 583669; Thread index: 1;
Execution time: 583731; Thread index: 2;
Execution time: 595320; Thread index: 2;
Execution time: 595598; Thread index: 3;
Execution time: 595661; Thread index: 1;
Execution time: 606486; Thread index: 2;
Execution time: 606539; Thread index: 3;
Execution time: 606734; Thread index: 1;
Execution time: 618863; Thread index: 2;
Execution time: 619161; Thread index: 3;
Execution time: 619240; Thread index: 1;
Execution time: 629902; Thread index: 1;
Execution time: 630271; Thread index: 3;
Execution time: 630339; Thread index: 2;
Execution time: 640250; Thread index: 3;
Execution time: 640609; Thread index: 2;
Execution time: 640666; Thread index: 1;
Execution time: 650686; Thread index: 1;
Execution time: 650700; Thread index: 3;
Execution time: 650803; Thread index: 2;
Execution time: 662336; Thread index: 1;
Execution time: 662660; Thread index: 2;
Execution time: 662763; Thread index: 3;
Execution time: 672864; Thread index: 1;
Execution time: 673028; Thread index: 3;
Execution time: 673093; Thread index: 2;
Execution time: 683250; Thread index: 1;
Execution time: 683523; Thread index: 2;
Execution time: 683589; Thread index: 3;
Execution time: 693930; Thread index: 2;
Execution time: 694242; Thread index: 3;
Execution time: 694299; Thread index: 1;
Execution time: 704383; Thread index: 3;
Execution time: 704540; Thread index: 2;
Execution time: 704579; Thread index: 1;
Execution time: 714686; Thread index: 1;
Execution time: 714695; Thread index: 2;
Execution time: 714892; Thread index: 3;
Execution time: 725883; Thread index: 3;
Execution time: 725913; Thread index: 1;
Execution time: 726086; Thread index: 2;
Execution time: 736270; Thread index: 1;
Execution time: 736432; Thread index: 3;
Execution time: 736471; Thread index: 2;
Execution time: 748259; Thread index: 1;
Execution time: 748299; Thread index: 2;
Execution time: 748359; Thread index: 3;
Execution time: 762148; Thread index: 1;
Execution time: 762364; Thread index: 2;
Execution time: 762399; Thread index: 3;
Execution time: 773023; Thread index: 2;
Execution time: 773140; Thread index: 1;
Execution time: 773205; Thread index: 3;
Execution time: 783496; Thread index: 3;
Execution time: 783612; Thread index: 2;
Execution time: 783738; Thread index: 1;
Execution time: 794065; Thread index: 1;
Execution time: 794439; Thread index: 2;
Execution time: 794501; Thread index: 3;
Execution time: 804894; Thread index: 1;
Execution time: 805214; Thread index: 3;
Execution time: 805264; Thread index: 2;
Execution time: 816128; Thread index: 1;
Execution time: 816466; Thread index: 3;
Execution time: 816520; Thread index: 2;
Execution time: 826886; Thread index: 1;
Execution time: 827226; Thread index: 3;
Execution time: 827287; Thread index: 2;
Execution time: 838062; Thread index: 3;
Execution time: 838255; Thread index: 1;
Execution time: 838260; Thread index: 2;
Execution time: 849175; Thread index: 1;
Execution time: 849302; Thread index: 2;
Execution time: 849379; Thread index: 3;
Execution time: 860007; Thread index: 1;
Execution time: 860235; Thread index: 3;
Execution time: 860247; Thread index: 2;
Execution time: 871965; Thread index: 3;
Execution time: 872055; Thread index: 2;
Execution time: 872060; Thread index: 1;
Execution time: 883808; Thread index: 1;
Execution time: 884015; Thread index: 3;
Execution time: 884084; Thread index: 2;
Execution time: 896481; Thread index: 1;
Execution time: 896486; Thread index: 3;
Execution time: 896539; Thread index: 2;
Execution time: 915693; Thread index: 3;
Execution time: 915745; Thread index: 2;
Execution time: 915899; Thread index: 1;
Execution time: 936887; Thread index: 2;
Execution time: 936930; Thread index: 3;
Execution time: 937579; Thread index: 1;
Execution time: 956059; Thread index: 1;
Execution time: 956061; Thread index: 2;
Execution time: 956132; Thread index: 3;
Execution time: 976886; Thread index: 2;
Execution time: 976900; Thread index: 3;
Execution time: 976903; Thread index: 1;
Execution time: 997023; Thread index: 2;
Execution time: 997096; Thread index: 3;
Execution time: 997323; Thread index: 1;
Execution time: 1018910; Thread index: 2;
Execution time: 1018945; Thread index: 3;
Execution time: 1019159; Thread index: 1;
Execution time: 1033131; Thread index: 1;
Execution time: 1033137; Thread index: 3;
Execution time: 1033213; Thread index: 2;
Execution time: 1053843; Thread index: 2;
Execution time: 1054047; Thread index: 3;
Execution time: 1056243; Thread index: 1;
Execution time: 1077550; Thread index: 3;
Execution time: 1077608; Thread index: 1;
Execution time: 1077721; Thread index: 2;
Execution time: 1090005; Thread index: 2;
Execution time: 1090181; Thread index: 1;
Execution time: 1090249; Thread index: 3;
Execution time: 1101668; Thread index: 2;
Execution time: 1101673; Thread index: 3;
Execution time: 1101833; Thread index: 1;
Execution time: 1112967; Thread index: 3;
Execution time: 1113148; Thread index: 1;
Execution time: 1113226; Thread index: 2;
Execution time: 1124673; Thread index: 3;
Execution time: 1124799; Thread index: 2;
Execution time: 1124866; Thread index: 1;
Execution time: 1135570; Thread index: 3;
Execution time: 1135872; Thread index: 2;
Execution time: 1135872; Thread index: 1;
Execution time: 1146973; Thread index: 2;
Execution time: 1147117; Thread index: 3;
Execution time: 1147178; Thread index: 1;
Execution time: 1158374; Thread index: 1;
Execution time: 1158681; Thread index: 3;
Execution time: 1158719; Thread index: 2;
Execution time: 1172180; Thread index: 1;
Execution time: 1172203; Thread index: 2;
Execution time: 1172247; Thread index: 3;
Execution time: 1181708; Thread index: 1;
Execution time: 1182034; Thread index: 3;
Execution time: 1182088; Thread index: 2;
Execution time: 1191588; Thread index: 2;
Execution time: 1191755; Thread index: 3;
Execution time: 1191836; Thread index: 1;
Execution time: 1200516; Thread index: 2;
Execution time: 1200573; Thread index: 1;
Execution time: 1200718; Thread index: 3;
Execution time: 1209960; Thread index: 1;
Execution time: 1210127; Thread index: 2;
Execution time: 1210132; Thread index: 3;
Execution time: 1218872; Thread index: 1;
Execution time: 1219140; Thread index: 2;
Execution time: 1219167; Thread index: 3;
Execution time: 1228117; Thread index: 1;
Execution time: 1228443; Thread index: 3;
Execution time: 1228485; Thread index: 2;
Execution time: 1237043; Thread index: 3;
Execution time: 1237184; Thread index: 1;
Execution time: 1237269; Thread index: 2;
Execution time: 1246586; Thread index: 1;
Execution time: 1246818; Thread index: 3;
Execution time: 1246864; Thread index: 2;
Execution time: 1256028; Thread index: 1;
Execution time: 1256360; Thread index: 3;
Execution time: 1256395; Thread index: 2;
Execution time: 1265646; Thread index: 1;
Execution time: 1265963; Thread index: 2;
Execution time: 1266036; Thread index: 3;
Execution time: 1275174; Thread index: 1;
Execution time: 1275480; Thread index: 3;
Execution time: 1275556; Thread index: 2;
Execution time: 1284207; Thread index: 3;
Execution time: 1284267; Thread index: 1;
Execution time: 1284440; Thread index: 2;
Execution time: 1293520; Thread index: 1;
Execution time: 1293814; Thread index: 2;
Execution time: 1293893; Thread index: 3;
Execution time: 1302523; Thread index: 1;
Execution time: 1302815; Thread index: 3;
Execution time: 1302874; Thread index: 2;
Execution time: 1311315; Thread index: 1;
Execution time: 1311649; Thread index: 3;
Execution time: 1311707; Thread index: 2;
Execution time: 1320624; Thread index: 1;
Execution time: 1320897; Thread index: 3;
Execution time: 1320967; Thread index: 2;
Execution time: 1329683; Thread index: 1;
Execution time: 1329949; Thread index: 2;
Execution time: 1330009; Thread index: 3;
Execution time: 1339204; Thread index: 3;
Execution time: 1339307; Thread index: 1;
Execution time: 1339449; Thread index: 2;
Execution time: 1347712; Thread index: 1;
Execution time: 1348026; Thread index: 3;
Execution time: 1348070; Thread index: 2;
Execution time: 1356792; Thread index: 1;
Execution time: 1357066; Thread index: 3;
Execution time: 1357135; Thread index: 2;
Execution time: 1367003; Thread index: 1;
Execution time: 1367362; Thread index: 2;
Execution time: 1367403; Thread index: 3;
Execution time: 1380369; Thread index: 1;
Execution time: 1380377; Thread index: 2;
Execution time: 1380426; Thread index: 3;
Execution time: 1389442; Thread index: 1;
Execution time: 1389742; Thread index: 3;
Execution time: 1389837; Thread index: 2;
Execution time: 1398448; Thread index: 1;
Execution time: 1398741; Thread index: 2;
Execution time: 1398801; Thread index: 3;
Execution time: 1407343; Thread index: 1;
Execution time: 1407531; Thread index: 2;
Execution time: 1407612; Thread index: 3;
Execution time: 1416619; Thread index: 3;
Execution time: 1416692; Thread index: 1;
Execution time: 1416849; Thread index: 2;
Execution time: 1425340; Thread index: 2;
Execution time: 1425354; Thread index: 1;
Execution time: 1425543; Thread index: 3;
Execution time: 1434438; Thread index: 1;
Execution time: 1434509; Thread index: 3;
Execution time: 1434630; Thread index: 2;
Execution time: 1443226; Thread index: 1;
Execution time: 1443491; Thread index: 3;
Execution time: 1443552; Thread index: 2;
Execution time: 1452301; Thread index: 2;
Execution time: 1452312; Thread index: 1;
Execution time: 1452511; Thread index: 3;
Execution time: 1461416; Thread index: 1;
Execution time: 1461769; Thread index: 2;
Execution time: 1461777; Thread index: 3;
Execution time: 1470329; Thread index: 2;
Execution time: 1470377; Thread index: 1;
Execution time: 1470380; Thread index: 3;
Execution time: 1479566; Thread index: 1;
Execution time: 1479854; Thread index: 3;
Execution time: 1479932; Thread index: 2;
Execution time: 1488263; Thread index: 2;
Execution time: 1488344; Thread index: 1;
Execution time: 1488460; Thread index: 3;
Execution time: 1496825; Thread index: 1;
Execution time: 1497178; Thread index: 3;
Execution time: 1497209; Thread index: 2;
Execution time: 1506233; Thread index: 1;
Execution time: 1506562; Thread index: 2;
Execution time: 1506646; Thread index: 3;
Execution time: 1515080; Thread index: 1;
Execution time: 1515298; Thread index: 3;
Execution time: 1515365; Thread index: 2;
Execution time: 1523980; Thread index: 1;
Execution time: 1524314; Thread index: 3;
Execution time: 1524327; Thread index: 2;
Execution time: 1532839; Thread index: 2;
Execution time: 1532863; Thread index: 1;
Execution time: 1533038; Thread index: 3;
Execution time: 1543400; Thread index: 2;
Execution time: 1543431; Thread index: 1;
Execution time: 1543611; Thread index: 3;
Execution time: 1552709; Thread index: 2;
Execution time: 1552744; Thread index: 1;
Execution time: 1552872; Thread index: 3;
Execution time: 1564452; Thread index: 1;
Execution time: 1564715; Thread index: 2;
Execution time: 1564781; Thread index: 3;
Execution time: 1577376; Thread index: 2;
Execution time: 1577452; Thread index: 1;
Execution time: 1577749; Thread index: 3;
Execution time: 1589592; Thread index: 2;
Execution time: 1589613; Thread index: 3;
Execution time: 1589665; Thread index: 1;
Execution time: 1599127; Thread index: 1;
Execution time: 1599208; Thread index: 3;
Execution time: 1599384; Thread index: 2;
Execution time: 1619434; Thread index: 1;
Execution time: 1619551; Thread index: 3;
Execution time: 1619666; Thread index: 2;
Execution time: 1636596; Thread index: 2;
Execution time: 1636640; Thread index: 3;
Execution time: 1636834; Thread index: 1;
Execution time: 1654268; Thread index: 3;
Execution time: 1654279; Thread index: 2;
Execution time: 1654620; Thread index: 1;
Execution time: 1671316; Thread index: 3;
Execution time: 1671398; Thread index: 2;
Execution time: 1671510; Thread index: 1;
Execution time: 1681145; Thread index: 3;
Execution time: 1681190; Thread index: 1;
Execution time: 1681424; Thread index: 2;
Execution time: 1691270; Thread index: 1;
Execution time: 1691349; Thread index: 3;
Execution time: 1691467; Thread index: 2;
Execution time: 1702741; Thread index: 2;
Execution time: 1702868; Thread index: 3;
Execution time: 1702973; Thread index: 1;
Execution time: 1713149; Thread index: 3;
Execution time: 1713151; Thread index: 2;
Execution time: 1713422; Thread index: 1;
Execution time: 1723183; Thread index: 3;
Execution time: 1723271; Thread index: 1;
Execution time: 1723442; Thread index: 2;
Execution time: 1733413; Thread index: 1;
Execution time: 1733624; Thread index: 2;
Execution time: 1733674; Thread index: 3;
Execution time: 1742518; Thread index: 1;
Execution time: 1742770; Thread index: 3;
Execution time: 1742835; Thread index: 2;
Execution time: 1751782; Thread index: 3;
Execution time: 1751904; Thread index: 1;
Execution time: 1751979; Thread index: 2;
Execution time: 1763580; Thread index: 2;
Execution time: 1763637; Thread index: 1;
Execution time: 1763642; Thread index: 3;
Execution time: 1773817; Thread index: 3;
Execution time: 1773980; Thread index: 1;
Execution time: 1774127; Thread index: 2;
Execution time: 1782805; Thread index: 3;
Execution time: 1782915; Thread index: 1;
Execution time: 1783018; Thread index: 2;
Execution time: 1791755; Thread index: 2;
Execution time: 1791881; Thread index: 1;
Execution time: 1792006; Thread index: 3;
Execution time: 1800716; Thread index: 1;
Execution time: 1800829; Thread index: 2;
Execution time: 1800917; Thread index: 3;
Execution time: 1809462; Thread index: 2;
