Execution time: 16332; Thread index: 1;
Execution time: 16423; Thread index: 3;
Execution time: 16448; Thread index: 2;
Execution time: 27357; Thread index: 3;
Execution time: 27370; Thread index: 1;
Execution time: 27563; Thread index: 2;
Execution time: 44958; Thread index: 1;
Execution time: 44990; Thread index: 2;
Execution time: 45024; Thread index: 3;
Execution time: 60715; Thread index: 1;
Execution time: 60909; Thread index: 3;
Execution time: 60976; Thread index: 2;
Execution time: 73030; Thread index: 1;
Execution time: 73104; Thread index: 2;
Execution time: 73154; Thread index: 3;
Execution time: 86161; Thread index: 3;
Execution time: 86222; Thread index: 1;
Execution time: 86392; Thread index: 2;
Execution time: 99275; Thread index: 2;
Execution time: 99359; Thread index: 1;
Execution time: 99524; Thread index: 3;
Execution time: 116836; Thread index: 2;
Execution time: 116859; Thread index: 3;
Execution time: 116961; Thread index: 1;
Execution time: 133162; Thread index: 1;
Execution time: 133228; Thread index: 2;
Execution time: 133254; Thread index: 3;
Execution time: 151660; Thread index: 1;
Execution time: 151777; Thread index: 3;
Execution time: 151922; Thread index: 2;
Execution time: 163959; Thread index: 1;
Execution time: 164068; Thread index: 3;
Execution time: 164143; Thread index: 2;
Execution time: 183012; Thread index: 1;
Execution time: 183907; Thread index: 3;
Execution time: 184049; Thread index: 2;
Execution time: 200094; Thread index: 3;
Execution time: 200154; Thread index: 1;
Execution time: 200643; Thread index: 2;
Execution time: 212027; Thread index: 1;
Execution time: 212138; Thread index: 3;
Execution time: 212365; Thread index: 2;
Execution time: 226702; Thread index: 2;
Execution time: 226789; Thread index: 3;
Execution time: 226975; Thread index: 1;
Execution time: 239249; Thread index: 1;
Execution time: 239389; Thread index: 3;
Execution time: 239682; Thread index: 2;
Execution time: 253300; Thread index: 1;
Execution time: 253364; Thread index: 2;
Execution time: 253518; Thread index: 3;
Execution time: 264137; Thread index: 1;
Execution time: 264206; Thread index: 2;
Execution time: 264466; Thread index: 3;
Execution time: 275034; Thread index: 1;
Execution time: 275324; Thread index: 2;
Execution time: 275324; Thread index: 3;
Execution time: 286241; Thread index: 3;
Execution time: 286259; Thread index: 1;
Execution time: 286383; Thread index: 2;
Execution time: 296950; Thread index: 1;
Execution time: 297158; Thread index: 3;
Execution time: 297223; Thread index: 2;
Execution time: 307589; Thread index: 3;
Execution time: 307708; Thread index: 1;
Execution time: 307813; Thread index: 2;
Execution time: 319068; Thread index: 1;
Execution time: 319069; Thread index: 2;
Execution time: 319250; Thread index: 3;
Execution time: 329918; Thread index: 1;
Execution time: 330285; Thread index: 3;
Execution time: 330300; Thread index: 2;
Execution time: 340662; Thread index: 1;
Execution time: 340894; Thread index: 2;
Execution time: 340939; Thread index: 3;
Execution time: 351683; Thread index: 1;
Execution time: 351749; Thread index: 2;
Execution time: 351801; Thread index: 3;
Execution time: 362561; Thread index: 3;
Execution time: 362687; Thread index: 1;
Execution time: 362794; Thread index: 2;
Execution time: 372921; Thread index: 2;
Execution time: 373226; Thread index: 3;
Execution time: 373338; Thread index: 1;
Execution time: 383698; Thread index: 1;
Execution time: 383983; Thread index: 3;
Execution time: 384039; Thread index: 2;
Execution time: 395047; Thread index: 2;
Execution time: 395138; Thread index: 1;
Execution time: 395308; Thread index: 3;
Execution time: 406406; Thread index: 2;
Execution time: 406482; Thread index: 1;
Execution time: 406653; Thread index: 3;
Execution time: 416907; Thread index: 1;
Execution time: 417240; Thread index: 3;
Execution time: 417334; Thread index: 2;
Execution time: 428741; Thread index: 2;
Execution time: 428836; Thread index: 1;
Execution time: 428967; Thread index: 3;
Execution time: 439448; Thread index: 1;
Execution time: 439741; Thread index: 3;
Execution time: 439837; Thread index: 2;
Execution time: 453752; Thread index: 1;
Execution time: 453842; Thread index: 3;
Execution time: 453868; Thread index: 2;
Execution time: 469808; Thread index: 1;
Execution time: 469954; Thread index: 2;
Execution time: 470046; Thread index: 3;
Execution time: 481494; Thread index: 1;
Execution time: 481545; Thread index: 2;
Execution time: 481813; Thread index: 3;
Execution time: 494193; Thread index: 1;
Execution time: 494302; Thread index: 3;
Execution time: 494308; Thread index: 2;
Execution time: 504908; Thread index: 1;
Execution time: 505083; Thread index: 2;
Execution time: 505090; Thread index: 3;
Execution time: 514994; Thread index: 1;
Execution time: 515315; Thread index: 3;
Execution time: 515352; Thread index: 2;
Execution time: 525640; Thread index: 1;
Execution time: 525977; Thread index: 3;
Execution time: 526051; Thread index: 2;
Execution time: 537633; Thread index: 1;
Execution time: 537936; Thread index: 3;
Execution time: 537992; Thread index: 2;
Execution time: 548778; Thread index: 3;
Execution time: 548950; Thread index: 1;
Execution time: 549031; Thread index: 2;
Execution time: 559404; Thread index: 2;
Execution time: 559536; Thread index: 1;
Execution time: 559631; Thread index: 3;
Execution time: 572834; Thread index: 3;
Execution time: 572960; Thread index: 1;
Execution time: 572970; Thread index: 2;
Execution time: 583538; Thread index: 1;
Execution time: 583695; Thread index: 3;
Execution time: 583792; Thread index: 2;
Execution time: 593969; Thread index: 3;
Execution time: 594072; Thread index: 1;
Execution time: 594156; Thread index: 2;
Execution time: 604424; Thread index: 2;
Execution time: 604589; Thread index: 1;
Execution time: 604683; Thread index: 3;
Execution time: 615786; Thread index: 1;
Execution time: 616141; Thread index: 3;
Execution time: 616159; Thread index: 2;
Execution time: 626040; Thread index: 3;
Execution time: 626105; Thread index: 1;
Execution time: 626253; Thread index: 2;
Execution time: 638161; Thread index: 1;
Execution time: 638508; Thread index: 3;
Execution time: 638566; Thread index: 2;
Execution time: 649361; Thread index: 1;
Execution time: 649390; Thread index: 3;
Execution time: 649582; Thread index: 2;
Execution time: 659586; Thread index: 2;
Execution time: 659659; Thread index: 1;
Execution time: 659803; Thread index: 3;
Execution time: 670271; Thread index: 1;
Execution time: 670625; Thread index: 2;
Execution time: 670685; Thread index: 3;
Execution time: 681214; Thread index: 3;
Execution time: 681358; Thread index: 1;
Execution time: 681488; Thread index: 2;
Execution time: 692426; Thread index: 1;
Execution time: 692661; Thread index: 3;
Execution time: 692745; Thread index: 2;
Execution time: 705500; Thread index: 3;
Execution time: 705545; Thread index: 2;
Execution time: 705658; Thread index: 1;
Execution time: 715672; Thread index: 1;
Execution time: 715926; Thread index: 3;
Execution time: 715942; Thread index: 2;
Execution time: 727340; Thread index: 1;
Execution time: 727551; Thread index: 2;
Execution time: 727633; Thread index: 3;
Execution time: 737781; Thread index: 1;
Execution time: 738008; Thread index: 3;
Execution time: 738069; Thread index: 2;
Execution time: 748164; Thread index: 3;
Execution time: 748222; Thread index: 1;
Execution time: 748415; Thread index: 2;
Execution time: 758910; Thread index: 3;
Execution time: 758982; Thread index: 1;
Execution time: 759106; Thread index: 2;
Execution time: 770366; Thread index: 3;
Execution time: 770368; Thread index: 2;
Execution time: 770453; Thread index: 1;
Execution time: 780933; Thread index: 3;
Execution time: 780981; Thread index: 1;
Execution time: 781142; Thread index: 2;
Execution time: 791323; Thread index: 3;
Execution time: 791502; Thread index: 1;
Execution time: 791571; Thread index: 2;
Execution time: 802375; Thread index: 1;
Execution time: 802685; Thread index: 3;
Execution time: 802744; Thread index: 2;
Execution time: 814479; Thread index: 1;
Execution time: 814781; Thread index: 2;
Execution time: 814817; Thread index: 3;
Execution time: 825423; Thread index: 1;
Execution time: 825720; Thread index: 2;
Execution time: 825732; Thread index: 3;
Execution time: 837381; Thread index: 1;
Execution time: 837660; Thread index: 3;
Execution time: 837731; Thread index: 2;
Execution time: 848073; Thread index: 1;
Execution time: 848083; Thread index: 2;
Execution time: 848382; Thread index: 3;
Execution time: 864137; Thread index: 1;
Execution time: 864170; Thread index: 3;
Execution time: 864191; Thread index: 2;
Execution time: 875026; Thread index: 1;
Execution time: 875227; Thread index: 3;
Execution time: 875307; Thread index: 2;
Execution time: 889680; Thread index: 3;
Execution time: 889772; Thread index: 1;
Execution time: 889779; Thread index: 2;
Execution time: 905914; Thread index: 1;
Execution time: 905971; Thread index: 2;
Execution time: 906051; Thread index: 3;
Execution time: 916558; Thread index: 3;
Execution time: 916657; Thread index: 1;
Execution time: 916738; Thread index: 2;
Execution time: 927251; Thread index: 1;
Execution time: 927390; Thread index: 3;
Execution time: 927439; Thread index: 2;
Execution time: 937642; Thread index: 1;
Execution time: 937880; Thread index: 2;
Execution time: 937919; Thread index: 3;
Execution time: 948785; Thread index: 1;
Execution time: 949030; Thread index: 3;
Execution time: 949079; Thread index: 2;
Execution time: 960160; Thread index: 1;
Execution time: 960479; Thread index: 2;
Execution time: 960538; Thread index: 3;
Execution time: 970951; Thread index: 3;
Execution time: 970978; Thread index: 1;
Execution time: 971132; Thread index: 2;
Execution time: 983708; Thread index: 1;
Execution time: 983909; Thread index: 3;
Execution time: 984118; Thread index: 2;
Execution time: 994652; Thread index: 1;
Execution time: 994939; Thread index: 3;
Execution time: 995009; Thread index: 2;
Execution time: 1005980; Thread index: 2;
Execution time: 1006017; Thread index: 1;
Execution time: 1006193; Thread index: 3;
Execution time: 1017058; Thread index: 2;
Execution time: 1017209; Thread index: 1;
Execution time: 1017254; Thread index: 3;
Execution time: 1028028; Thread index: 3;
Execution time: 1028290; Thread index: 2;
Execution time: 1028365; Thread index: 1;
Execution time: 1040962; Thread index: 1;
Execution time: 1041173; Thread index: 2;
Execution time: 1041424; Thread index: 3;
Execution time: 1055529; Thread index: 1;
Execution time: 1055538; Thread index: 2;
Execution time: 1055704; Thread index: 3;
Execution time: 1066291; Thread index: 2;
Execution time: 1066495; Thread index: 1;
Execution time: 1066588; Thread index: 3;
Execution time: 1077442; Thread index: 1;
Execution time: 1077735; Thread index: 2;
Execution time: 1077785; Thread index: 3;
Execution time: 1088953; Thread index: 1;
Execution time: 1089289; Thread index: 2;
Execution time: 1089323; Thread index: 3;
Execution time: 1100044; Thread index: 3;
Execution time: 1100123; Thread index: 2;
Execution time: 1100157; Thread index: 1;
Execution time: 1110383; Thread index: 2;
Execution time: 1110519; Thread index: 1;
Execution time: 1110658; Thread index: 3;
Execution time: 1121974; Thread index: 1;
Execution time: 1122141; Thread index: 2;
Execution time: 1122216; Thread index: 3;
Execution time: 1131970; Thread index: 1;
Execution time: 1132150; Thread index: 2;
Execution time: 1132200; Thread index: 3;
Execution time: 1141293; Thread index: 1;
Execution time: 1141564; Thread index: 2;
Execution time: 1141578; Thread index: 3;
Execution time: 1150907; Thread index: 1;
Execution time: 1151023; Thread index: 2;
Execution time: 1151087; Thread index: 3;
Execution time: 1159947; Thread index: 1;
Execution time: 1160259; Thread index: 3;
Execution time: 1160366; Thread index: 2;
Execution time: 1169075; Thread index: 1;
Execution time: 1169121; Thread index: 3;
Execution time: 1169235; Thread index: 2;
Execution time: 1178443; Thread index: 2;
Execution time: 1178698; Thread index: 1;
Execution time: 1178769; Thread index: 3;
Execution time: 1187618; Thread index: 2;
Execution time: 1187749; Thread index: 1;
Execution time: 1187879; Thread index: 3;
Execution time: 1197082; Thread index: 2;
Execution time: 1197146; Thread index: 1;
Execution time: 1197298; Thread index: 3;
Execution time: 1205793; Thread index: 3;
Execution time: 1206113; Thread index: 1;
Execution time: 1206178; Thread index: 2;
Execution time: 1223680; Thread index: 1;
Execution time: 1223760; Thread index: 2;
Execution time: 1223832; Thread index: 3;
Execution time: 1241787; Thread index: 3;
Execution time: 1241840; Thread index: 1;
Execution time: 1241995; Thread index: 2;
Execution time: 1260511; Thread index: 1;
Execution time: 1260632; Thread index: 2;
Execution time: 1260727; Thread index: 3;
Execution time: 1271099; Thread index: 3;
Execution time: 1271188; Thread index: 1;
Execution time: 1271341; Thread index: 2;
Execution time: 1288692; Thread index: 1;
Execution time: 1288824; Thread index: 3;
Execution time: 1288902; Thread index: 2;
Execution time: 1298447; Thread index: 3;
Execution time: 1298513; Thread index: 1;
Execution time: 1298730; Thread index: 2;
Execution time: 1317756; Thread index: 1;
Execution time: 1317831; Thread index: 2;
Execution time: 1318071; Thread index: 3;
Execution time: 1332580; Thread index: 2;
Execution time: 1332651; Thread index: 1;
Execution time: 1332876; Thread index: 3;
Execution time: 1343445; Thread index: 1;
Execution time: 1343526; Thread index: 2;
Execution time: 1343635; Thread index: 3;
Execution time: 1354053; Thread index: 2;
Execution time: 1354186; Thread index: 1;
Execution time: 1354304; Thread index: 3;
Execution time: 1369642; Thread index: 3;
Execution time: 1369762; Thread index: 1;
Execution time: 1369873; Thread index: 2;
Execution time: 1378552; Thread index: 2;
Execution time: 1378616; Thread index: 1;
Execution time: 1378700; Thread index: 3;
Execution time: 1387595; Thread index: 1;
Execution time: 1387918; Thread index: 3;
Execution time: 1387985; Thread index: 2;
Execution time: 1396465; Thread index: 1;
Execution time: 1396789; Thread index: 3;
Execution time: 1396854; Thread index: 2;
Execution time: 1405789; Thread index: 3;
Execution time: 1405816; Thread index: 1;
Execution time: 1405987; Thread index: 2;
Execution time: 1415028; Thread index: 1;
Execution time: 1415341; Thread index: 2;
Execution time: 1415396; Thread index: 3;
Execution time: 1424420; Thread index: 2;
Execution time: 1424445; Thread index: 1;
Execution time: 1424605; Thread index: 3;
Execution time: 1433879; Thread index: 2;
Execution time: 1433930; Thread index: 1;
Execution time: 1433966; Thread index: 3;
Execution time: 1442305; Thread index: 1;
Execution time: 1442583; Thread index: 2;
Execution time: 1442602; Thread index: 3;
Execution time: 1451798; Thread index: 1;
Execution time: 1452013; Thread index: 2;
Execution time: 1452039; Thread index: 3;
Execution time: 1460265; Thread index: 1;
Execution time: 1460512; Thread index: 2;
Execution time: 1460589; Thread index: 3;
Execution time: 1469887; Thread index: 2;
Execution time: 1470066; Thread index: 1;
Execution time: 1470145; Thread index: 3;
Execution time: 1479153; Thread index: 3;
