Execution time: 15638; Thread index: 1;
Execution time: 15923; Thread index: 2;
Execution time: 15962; Thread index: 3;
Execution time: 31133; Thread index: 2;
Execution time: 31295; Thread index: 1;
Execution time: 31385; Thread index: 3;
Execution time: 46910; Thread index: 1;
Execution time: 46945; Thread index: 3;
Execution time: 47015; Thread index: 2;
Execution time: 58184; Thread index: 1;
Execution time: 58300; Thread index: 3;
Execution time: 58436; Thread index: 2;
Execution time: 71084; Thread index: 1;
Execution time: 71354; Thread index: 2;
Execution time: 71423; Thread index: 3;
Execution time: 82383; Thread index: 3;
Execution time: 82526; Thread index: 1;
Execution time: 82631; Thread index: 2;
Execution time: 92970; Thread index: 1;
Execution time: 93295; Thread index: 2;
Execution time: 93392; Thread index: 3;
Execution time: 103895; Thread index: 3;
Execution time: 104038; Thread index: 1;
Execution time: 104164; Thread index: 2;
Execution time: 115285; Thread index: 1;
Execution time: 115515; Thread index: 2;
Execution time: 115587; Thread index: 3;
Execution time: 126172; Thread index: 1;
Execution time: 126318; Thread index: 2;
Execution time: 126405; Thread index: 3;
Execution time: 136777; Thread index: 1;
Execution time: 137098; Thread index: 2;
Execution time: 137164; Thread index: 3;
Execution time: 148027; Thread index: 3;
Execution time: 148359; Thread index: 2;
Execution time: 148413; Thread index: 1;
Execution time: 158951; Thread index: 1;
Execution time: 159136; Thread index: 3;
Execution time: 159187; Thread index: 2;
Execution time: 171313; Thread index: 1;
Execution time: 171316; Thread index: 2;
Execution time: 171519; Thread index: 3;
Execution time: 182020; Thread index: 1;
Execution time: 182374; Thread index: 2;
Execution time: 182399; Thread index: 3;
Execution time: 194554; Thread index: 3;
Execution time: 194592; Thread index: 1;
Execution time: 194796; Thread index: 2;
Execution time: 206349; Thread index: 2;
Execution time: 206413; Thread index: 1;
Execution time: 206574; Thread index: 3;
Execution time: 216711; Thread index: 1;
Execution time: 217021; Thread index: 2;
Execution time: 217103; Thread index: 3;
Execution time: 228203; Thread index: 2;
Execution time: 228256; Thread index: 1;
Execution time: 228418; Thread index: 3;
Execution time: 240534; Thread index: 3;
Execution time: 240600; Thread index: 1;
Execution time: 240749; Thread index: 2;
