Execution time: 18764; Thread index: 1;
Execution time: 18775; Thread index: 3;
Execution time: 18898; Thread index: 2;
Execution time: 29918; Thread index: 1;
Execution time: 30208; Thread index: 2;
Execution time: 30212; Thread index: 3;
Execution time: 40639; Thread index: 1;
Execution time: 40869; Thread index: 3;
Execution time: 40962; Thread index: 2;
Execution time: 51317; Thread index: 2;
Execution time: 51475; Thread index: 1;
Execution time: 51556; Thread index: 3;
Execution time: 63041; Thread index: 1;
Execution time: 63092; Thread index: 3;
Execution time: 63223; Thread index: 2;
Execution time: 77424; Thread index: 2;
Execution time: 77441; Thread index: 3;
Execution time: 77536; Thread index: 1;
Execution time: 93614; Thread index: 2;
Execution time: 93692; Thread index: 1;
Execution time: 93699; Thread index: 3;
Execution time: 104362; Thread index: 3;
Execution time: 104689; Thread index: 2;
Execution time: 104717; Thread index: 1;
Execution time: 115401; Thread index: 1;
Execution time: 115477; Thread index: 2;
Execution time: 115573; Thread index: 3;
Execution time: 125807; Thread index: 3;
Execution time: 125871; Thread index: 1;
Execution time: 126014; Thread index: 2;
Execution time: 138986; Thread index: 1;
Execution time: 139102; Thread index: 2;
Execution time: 139184; Thread index: 3;
Execution time: 150635; Thread index: 1;
Execution time: 150644; Thread index: 3;
Execution time: 150826; Thread index: 2;
Execution time: 162356; Thread index: 1;
Execution time: 162561; Thread index: 2;
Execution time: 163042; Thread index: 3;
Execution time: 174862; Thread index: 1;
Execution time: 175185; Thread index: 2;
Execution time: 175238; Thread index: 3;
Execution time: 186362; Thread index: 1;
Execution time: 186655; Thread index: 2;
Execution time: 186668; Thread index: 3;
Execution time: 198148; Thread index: 3;
Execution time: 198166; Thread index: 1;
Execution time: 198401; Thread index: 2;
Execution time: 208714; Thread index: 2;
Execution time: 208802; Thread index: 3;
Execution time: 208934; Thread index: 1;
Execution time: 219536; Thread index: 1;
Execution time: 219691; Thread index: 3;
Execution time: 219735; Thread index: 2;
Execution time: 230620; Thread index: 3;
Execution time: 230707; Thread index: 1;
Execution time: 230803; Thread index: 2;
Execution time: 241176; Thread index: 1;
Execution time: 241489; Thread index: 2;
Execution time: 241496; Thread index: 3;
Execution time: 252130; Thread index: 1;
Execution time: 252216; Thread index: 2;
Execution time: 252271; Thread index: 3;
Execution time: 263782; Thread index: 2;
Execution time: 263834; Thread index: 3;
Execution time: 264003; Thread index: 1;
Execution time: 277591; Thread index: 2;
Execution time: 277682; Thread index: 3;
Execution time: 277737; Thread index: 1;
Execution time: 290342; Thread index: 1;
Execution time: 290432; Thread index: 2;
Execution time: 291247; Thread index: 3;
Execution time: 302704; Thread index: 2;
Execution time: 302740; Thread index: 1;
Execution time: 302990; Thread index: 3;
Execution time: 316124; Thread index: 1;
Execution time: 316159; Thread index: 2;
Execution time: 316300; Thread index: 3;
Execution time: 331094; Thread index: 3;
Execution time: 331167; Thread index: 1;
Execution time: 331371; Thread index: 2;
Execution time: 348959; Thread index: 1;
Execution time: 349103; Thread index: 2;
Execution time: 349287; Thread index: 3;
Execution time: 361357; Thread index: 3;
Execution time: 361473; Thread index: 2;
Execution time: 361557; Thread index: 1;
Execution time: 373813; Thread index: 1;
Execution time: 374117; Thread index: 3;
Execution time: 374129; Thread index: 2;
Execution time: 387747; Thread index: 3;
Execution time: 387840; Thread index: 2;
Execution time: 388031; Thread index: 1;
Execution time: 409682; Thread index: 1;
Execution time: 409824; Thread index: 3;
Execution time: 409977; Thread index: 2;
Execution time: 422931; Thread index: 2;
Execution time: 423074; Thread index: 1;
Execution time: 423172; Thread index: 3;
Execution time: 434299; Thread index: 2;
Execution time: 434458; Thread index: 1;
Execution time: 434570; Thread index: 3;
Execution time: 444895; Thread index: 3;
Execution time: 444996; Thread index: 1;
Execution time: 445226; Thread index: 2;
Execution time: 457487; Thread index: 1;
Execution time: 457551; Thread index: 3;
Execution time: 457582; Thread index: 2;
Execution time: 469493; Thread index: 2;
Execution time: 469769; Thread index: 3;
Execution time: 469815; Thread index: 1;
Execution time: 480181; Thread index: 2;
Execution time: 480297; Thread index: 1;
Execution time: 480403; Thread index: 3;
Execution time: 490124; Thread index: 1;
Execution time: 490431; Thread index: 3;
Execution time: 490493; Thread index: 2;
