Execution time: 17164; Thread index: 1;
Execution time: 17211; Thread index: 3;
Execution time: 17335; Thread index: 2;
Execution time: 28748; Thread index: 1;
Execution time: 28949; Thread index: 2;
Execution time: 28999; Thread index: 3;
Execution time: 39877; Thread index: 1;
Execution time: 40148; Thread index: 3;
Execution time: 40217; Thread index: 2;
Execution time: 50731; Thread index: 1;
Execution time: 50891; Thread index: 2;
Execution time: 50894; Thread index: 3;
Execution time: 61963; Thread index: 1;
Execution time: 62198; Thread index: 2;
Execution time: 62263; Thread index: 3;
Execution time: 72905; Thread index: 1;
Execution time: 73165; Thread index: 3;
Execution time: 73243; Thread index: 2;
Execution time: 84123; Thread index: 1;
Execution time: 84124; Thread index: 2;
Execution time: 84345; Thread index: 3;
Execution time: 95085; Thread index: 2;
Execution time: 95122; Thread index: 3;
Execution time: 95299; Thread index: 1;
Execution time: 105676; Thread index: 1;
Execution time: 105900; Thread index: 3;
Execution time: 105959; Thread index: 2;
Execution time: 116300; Thread index: 3;
Execution time: 116362; Thread index: 1;
Execution time: 116521; Thread index: 2;
Execution time: 127011; Thread index: 1;
Execution time: 127320; Thread index: 2;
Execution time: 127374; Thread index: 3;
Execution time: 138002; Thread index: 1;
Execution time: 138122; Thread index: 2;
Execution time: 138593; Thread index: 3;
Execution time: 149548; Thread index: 1;
Execution time: 149786; Thread index: 2;
Execution time: 149801; Thread index: 3;
Execution time: 160505; Thread index: 2;
Execution time: 160575; Thread index: 1;
Execution time: 160738; Thread index: 3;
Execution time: 171335; Thread index: 1;
Execution time: 171648; Thread index: 2;
Execution time: 171719; Thread index: 3;
Execution time: 181974; Thread index: 1;
Execution time: 182229; Thread index: 2;
Execution time: 182297; Thread index: 3;
Execution time: 193720; Thread index: 2;
Execution time: 193770; Thread index: 1;
Execution time: 193939; Thread index: 3;
Execution time: 204751; Thread index: 1;
Execution time: 205077; Thread index: 3;
Execution time: 205143; Thread index: 2;
Execution time: 215423; Thread index: 1;
Execution time: 215822; Thread index: 3;
Execution time: 215896; Thread index: 2;
Execution time: 226937; Thread index: 1;
Execution time: 227204; Thread index: 2;
Execution time: 227233; Thread index: 3;
Execution time: 237990; Thread index: 1;
Execution time: 238222; Thread index: 3;
Execution time: 238255; Thread index: 2;
Execution time: 248838; Thread index: 1;
Execution time: 249073; Thread index: 2;
Execution time: 249132; Thread index: 3;
Execution time: 259876; Thread index: 2;
Execution time: 259898; Thread index: 1;
Execution time: 259983; Thread index: 3;
Execution time: 270914; Thread index: 3;
Execution time: 270999; Thread index: 1;
Execution time: 271131; Thread index: 2;
Execution time: 281433; Thread index: 1;
Execution time: 281669; Thread index: 2;
Execution time: 281750; Thread index: 3;
Execution time: 292549; Thread index: 1;
Execution time: 292775; Thread index: 2;
Execution time: 292840; Thread index: 3;
Execution time: 304849; Thread index: 1;
Execution time: 305185; Thread index: 2;
Execution time: 305251; Thread index: 3;
Execution time: 319129; Thread index: 2;
Execution time: 319170; Thread index: 1;
Execution time: 319336; Thread index: 3;
Execution time: 330483; Thread index: 1;
Execution time: 330730; Thread index: 3;
Execution time: 330750; Thread index: 2;
Execution time: 341558; Thread index: 1;
Execution time: 341623; Thread index: 3;
Execution time: 341793; Thread index: 2;
Execution time: 352956; Thread index: 3;
Execution time: 353085; Thread index: 1;
Execution time: 353233; Thread index: 2;
Execution time: 364002; Thread index: 1;
Execution time: 364017; Thread index: 2;
Execution time: 364281; Thread index: 3;
Execution time: 375414; Thread index: 2;
Execution time: 375418; Thread index: 3;
Execution time: 375461; Thread index: 1;
Execution time: 386015; Thread index: 1;
Execution time: 386385; Thread index: 3;
Execution time: 386411; Thread index: 2;
Execution time: 398035; Thread index: 1;
Execution time: 398036; Thread index: 3;
Execution time: 398272; Thread index: 2;
Execution time: 409003; Thread index: 2;
Execution time: 409076; Thread index: 1;
Execution time: 409216; Thread index: 3;
Execution time: 420171; Thread index: 1;
Execution time: 420175; Thread index: 3;
Execution time: 420373; Thread index: 2;
Execution time: 430678; Thread index: 2;
Execution time: 430680; Thread index: 1;
Execution time: 430888; Thread index: 3;
Execution time: 441465; Thread index: 1;
Execution time: 441803; Thread index: 2;
Execution time: 441803; Thread index: 3;
Execution time: 452104; Thread index: 3;
Execution time: 452217; Thread index: 1;
Execution time: 452268; Thread index: 2;
Execution time: 462829; Thread index: 1;
Execution time: 463115; Thread index: 2;
Execution time: 463162; Thread index: 3;
Execution time: 476145; Thread index: 3;
Execution time: 476212; Thread index: 1;
Execution time: 476253; Thread index: 2;
Execution time: 486545; Thread index: 1;
Execution time: 486835; Thread index: 2;
Execution time: 486917; Thread index: 3;
Execution time: 497089; Thread index: 1;
Execution time: 497372; Thread index: 2;
Execution time: 497378; Thread index: 3;
Execution time: 507865; Thread index: 1;
Execution time: 508109; Thread index: 3;
Execution time: 508144; Thread index: 2;
Execution time: 518393; Thread index: 2;
Execution time: 518454; Thread index: 1;
Execution time: 518550; Thread index: 3;
Execution time: 528621; Thread index: 2;
Execution time: 528678; Thread index: 1;
Execution time: 528831; Thread index: 3;
Execution time: 539529; Thread index: 1;
Execution time: 539668; Thread index: 3;
Execution time: 539759; Thread index: 2;
Execution time: 550302; Thread index: 1;
Execution time: 550537; Thread index: 3;
Execution time: 550576; Thread index: 2;
Execution time: 561056; Thread index: 1;
Execution time: 561168; Thread index: 2;
Execution time: 561194; Thread index: 3;
